CaseNumber,Subject,Description,Product,Country,Priority,Status,CreatedDate,category,root_cause,sentiment,urgency
00005088,Refund still not processed,"Dear customer service, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-33177. Could you check the status? Regards, Greta Testcase, greta.testcase@demo-inbox.test",CycloneVac V8,United Kingdom,Medium,New,2026-05-28,Billing,Refund not processed after return,Neutral,High
00005089,Question about wall mounting,"Hi there, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Greta Testcase",SoundWave Bar 300,Germany,Low,Closed,2026-05-29,How-To Question,HDMI ARC connection and settings menu,Neutral,Medium
00005090,How to transfer photos via WiFi,"Dear customer service, I am trying to pair the AeroSnap Mini with the companion app on my phone but it never appears in the device list. Both Bluetooth and WiFi are on. What am I missing? Thanks, Carla Placeholder (carla.placeholder@notreal.test)",AeroSnap Mini,Italy,Low,Closed,2026-05-29,How-To Question,Device not appearing in app pairing list,Neutral,Medium
00005091,Firmware 3.2 causes constant reboots,"Dear customer service, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-966858. Please advise. Regards, Carla Placeholder","Lumina 65"" OLED TV",Italy,High,New,2026-05-30,Software/Firmware,Firmware 3.2 causes device freezing,Negative,High
00005092,Refund still not processed,"Hello support team, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-81649. Could you check the status? Regards, Greta Testcase, greta.testcase@demo-inbox.test",CycloneVac V8,Sweden,Medium,In Progress,2026-06-01,Billing,Refund processing delayed fifteen days,Neutral,Medium
00005093,Software update 3.2 broke my TV,I am extremely frustrated with this product. Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0156-1024. Carla Placeholder,"Lumina 65"" OLED TV",Italy,High,Closed,2026-06-03,Software/Firmware,Firmware 3.2 causes device freezing,Angry,High
00005094,Thank you + one small question,"Hi there, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! David Demo",SoundWave Bar 300,Poland,Low,Escalated,2026-06-05,How-To Question,Customer needs compatibility information,Positive,Low
00005095,How do I connect the soundbar to my TV?,"Dear customer service, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Bob Sample",SoundWave Bar 300,France,Low,Escalated,2026-06-05,How-To Question,Customer cannot find HDMI ARC settings,Neutral,Low
00005096,TV stuck on logo screen after latest update,"Hi there, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-330696. Thank you, Henk Voorbeeld","Lumina 55"" OLED TV",Sweden,Medium,In Progress,2026-06-06,Software/Firmware,Firmware 3.2 causes startup failure,Neutral,High
00005097,X200 battery drains overnight,"This is the third time I am contacting you and still no answer. My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Bob Sample",AeroSnap X200 Camera,Sweden,Medium,Closed,2026-06-06,Product Defect,Battery drains despite forty percent charge,Angry,High
00005098,Invoice needed for my order,I have been a loyal customer for years and this is how I am treated? I was charged twice for order ORD-2026-84016 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0124-8770. Frank Fictional,FrostCore Fridge-Freezer,Poland,High,In Progress,2026-06-08,Billing,Duplicate charge on customer account,Angry,High
00005099,Question about wall mounting,"Hi there, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Carla Placeholder",SoundWave Bar 300,Sweden,Low,Escalated,2026-06-09,How-To Question,Customer cannot find HDMI ARC settings,Neutral,Low
00005100,AeroSnap X200 shuts down at 40% battery,"I have been a loyal customer for years and this is how I am treated? My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Frank Fictional",AeroSnap X200 Camera,France,Low,Closed,2026-06-10,Product Defect,Battery drains despite forty percent charge,Angry,High
00005101,Which water filter do I need?,"Dear customer service, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, David Demo",BrewMaster Coffee Machine,Poland,Low,Escalated,2026-06-10,How-To Question,Descaling light remains on after program,Neutral,Low
00005102,Firmware 3.2 causes constant reboots,I have been a loyal customer for years and this is how I am treated? Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0187-1449. Erika Fiktiv,"Lumina 55"" OLED TV",United Kingdom,High,Closed,2026-06-11,Software/Firmware,Firmware 3.2 causes device freezing,Angry,High
00005103,BrewMaster makes loud grinding noise,"Hello support team, After about six months my BrewMaster has started leaking water from underneath every time it brews. There is a small puddle on the counter each morning. Serial SN-541593. Can this be repaired? Regards, Anna Example",BrewMaster Coffee Machine,France,Medium,New,2026-06-11,Product Defect,Water leaking from underneath device,Neutral,Medium
00005104,Refund still not processed,"Hi there, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-94867. Could you check the status? Regards, Frank Fictional, frank.fictional@notreal.test",CycloneVac V8,Poland,Medium,Closed,2026-06-11,Billing,Refund processing delayed fifteen days,Neutral,Medium
00005105,BrewMaster makes loud grinding noise,"Dear customer service, After about six months my BrewMaster has started leaking water from underneath every time it brews. There is a small puddle on the counter each morning. Serial SN-176573. Can this be repaired? Regards, Henk Voorbeeld",BrewMaster Coffee Machine,Netherlands,Medium,In Progress,2026-06-11,Product Defect,Water leaking from underneath device,Neutral,Medium
00005106,Lumina OLED unresponsive since update 3.2,"Dear customer service, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-923322. Thank you, David Demo","Lumina 55"" OLED TV",Poland,High,Escalated,2026-06-12,Software/Firmware,Firmware update v3.2 startup failure,Neutral,High
00005107,How to descale the coffee machine,"Hello support team, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Frank Fictional",BrewMaster Coffee Machine,Poland,Low,Closed,2026-06-12,How-To Question,Descaling light remains on after procedure,Neutral,Low
00005108,Bluetooth pairing help,"Dear customer service, I am trying to pair the AeroSnap Mini with the companion app on my phone but it never appears in the device list. Both Bluetooth and WiFi are on. What am I missing? Thanks, Henk Voorbeeld (henk.voorbeeld@fakemail.test)",AeroSnap Mini,Sweden,Low,In Progress,2026-06-12,How-To Question,Device not appearing in Bluetooth list,Neutral,Medium
00005109,TV frozen after firmware update,"Hello support team, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-246935. Thank you, Anna Example","Lumina 65"" OLED TV",Germany,High,New,2026-06-16,Software/Firmware,Firmware update v3.2 startup failure,Neutral,High
00005110,TV frozen after firmware update,"Hi there, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-412538. Thank you, Anna Example","Lumina 55"" OLED TV",Netherlands,High,Escalated,2026-06-16,Software/Firmware,Firmware update v3.2 startup failure,Neutral,High
00005111,Charged twice for one order,"Hello support team, I was charged twice for order ORD-2026-43806 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0127-2554. David Demo",CycloneVac V8,Poland,Medium,In Progress,2026-06-16,Billing,Duplicate charge on customer account,Negative,High
00005112,Lumina OLED unresponsive since update 3.2,"Dear customer service, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-978445. Please advise. Regards, Anna Example","Lumina 55"" OLED TV",United Kingdom,Medium,New,2026-06-17,Software/Firmware,Firmware update v3.2 causes freezing,Neutral,High
00005113,Firmware 3.2 causes constant reboots,"Hello support team, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-318876. Please advise. Regards, Greta Testcase","Lumina 55"" OLED TV",Sweden,High,In Progress,2026-06-18,Software/Firmware,Firmware update v3.2 causes freezing,Neutral,High
00005114,Thank you + one small question,"Dear customer service, First of all, I love my new SoundWave Bar 300 — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Carla Placeholder",SoundWave Bar 300,Sweden,Low,In Progress,2026-06-19,How-To Question,Subwoofer compatibility question,Positive,Low
00005115,Firmware 3.2 causes constant reboots,"Good morning, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-121597. Thank you, Erika Fiktiv","Lumina 65"" OLED TV",France,High,In Progress,2026-06-20,Software/Firmware,Firmware update v3.2 startup failure,Neutral,High
00005116,AeroSnap X200 shuts down at 40% battery,"Hello support team, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-91436. Could this be a hardware fault? Kind regards, Greta Testcase (greta.testcase@demo-inbox.test)",AeroSnap X200 Camera,Poland,High,In Progress,2026-06-21,Product Defect,Battery drains at 40% capacity,Negative,High
00005117,Thank you + one small question,"Dear customer service, First of all, I love my new SoundWave Bar 300 — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Henk Voorbeeld",SoundWave Bar 300,France,Low,In Progress,2026-06-21,How-To Question,Subwoofer compatibility question,Positive,Low
00005118,Refund still not processed,"Hi there, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-93980. Could you check the status? Regards, Bob Sample, bob.sample@demo-inbox.test",CycloneVac V8,Netherlands,Medium,Closed,2026-06-21,Shipping/Logistics,Refund not processed after return,Neutral,Medium
00005119,TV frozen after firmware update,"Honestly unacceptable for a product at this price point. Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. Anna Example, anna.example@fakemail.test","Lumina 65"" OLED TV",Netherlands,High,Escalated,2026-06-23,Software/Firmware,Firmware update v3.2 causes constant reboots,Angry,High
00005120,Refund still not processed,"Hello support team, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-18649. Could you check the status? Regards, Henk Voorbeeld, henk.voorbeeld@fakemail.test",CycloneVac V8,Sweden,Medium,Closed,2026-06-24,Shipping/Logistics,Refund not processed after return,Neutral,Medium
00005121,Camera battery life much worse than advertised,"I am extremely frustrated with this product. My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Carla Placeholder",AeroSnap X200 Camera,United Kingdom,Medium,New,2026-06-25,Product Defect,Battery indicator sensor malfunction,Angry,High
00005122,Backlight bleeding on Lumina 43,"Good morning, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-49889. I would like an exchange. Best, Anna Example (anna.example@fakemail.test)","Lumina 43"" LED TV",France,Medium,Escalated,2026-06-25,Product Defect,Dead pixels in display panel,Neutral,High
00005123,Software update 3.2 broke my TV,"Hello support team, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-186387. Thank you, Henk Voorbeeld","Lumina 65"" OLED TV",Sweden,Medium,Escalated,2026-06-26,Software/Firmware,Firmware update caused boot failure,Neutral,High
00005124,TV stuck on logo screen after latest update,"Dear customer service, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-571102. Please advise. Regards, Anna Example","Lumina 65"" OLED TV",Italy,High,Closed,2026-06-30,Software/Firmware,Firmware update causing freeze issue,Neutral,High
00005125,How to descale the coffee machine,"Dear customer service, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Anna Example",BrewMaster Coffee Machine,Netherlands,Low,In Progress,2026-06-30,How-To Question,Descaling light remains on after cycle,Neutral,Low
00005126,TV stuck on logo screen after latest update,"I am extremely frustrated with this product. Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. Greta Testcase, greta.testcase@demo-inbox.test","Lumina 65"" OLED TV",Sweden,High,Escalated,2026-07-01,Software/Firmware,Firmware update causing reboot loop,Angry,High
00005127,How do I connect the soundbar to my TV?,"Hi there, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Frank Fictional",SoundWave Bar 300,Sweden,Low,Escalated,2026-07-01,How-To Question,HDMI ARC connection setup unclear,Neutral,Low
00005128,Which water filter do I need?,"Hello support team, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Frank Fictional",BrewMaster Coffee Machine,Netherlands,Low,In Progress,2026-07-02,How-To Question,Descaling light remains on after cycle,Neutral,Low
00005129,Bluetooth pairing help,"Good morning, I am trying to pair the AeroSnap Mini with the companion app on my phone but it never appears in the device list. Both Bluetooth and WiFi are on. What am I missing? Thanks, Anna Example (anna.example@fakemail.test)",AeroSnap Mini,Germany,Low,In Progress,2026-07-03,Software/Firmware,Bluetooth pairing device discovery failure,Neutral,Medium
00005130,Lumina OLED unresponsive since update 3.2,"Hi there, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-160907. Please advise. Regards, Greta Testcase","Lumina 65"" OLED TV",Spain,High,New,2026-07-04,Software/Firmware,Firmware update causing freeze issue,Neutral,High
00005131,TV stuck on logo screen after latest update,"I am extremely frustrated with this product. Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. Bob Sample, bob.sample@demo-inbox.test","Lumina 65"" OLED TV",Italy,High,Closed,2026-07-04,Software/Firmware,Firmware update causing reboot loop,Angry,High
00005132,Lumina OLED unresponsive since update 3.2,"I am extremely frustrated with this product. Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. David Demo, david.demo@fakemail.test","Lumina 55"" OLED TV",Sweden,High,New,2026-07-05,Software/Firmware,Firmware update causing reboot loop,Angry,High
00005133,Thank you + one small question,"Dear customer service, First of all, I love my new SoundWave Bar 300 — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Henk Voorbeeld",SoundWave Bar 300,Poland,Low,In Progress,2026-07-05,How-To Question,Subwoofer compatibility information request,Positive,Low
00005134,Warranty registration problem,"Dear customer service, My FrostCore fridge-freezer (serial SN-843202) has stopped cooling in the fridge compartment after 14 months. The freezer still works. Is this covered under the 2-year warranty, and how do I arrange a repair? Thank you, Bob Sample",FrostCore Fridge-Freezer,Sweden,Medium,Closed,2026-07-05,Warranty,Warranty coverage and repair process inquiry,Neutral,Medium
00005135,TV frozen after firmware update,I am extremely frustrated with this product. Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0184-2538. David Demo,"Lumina 65"" OLED TV",Italy,High,In Progress,2026-07-06,Software/Firmware,Firmware update caused device failure,Angry,High
00005136,Lumina OLED unresponsive since update 3.2,"Dear customer service, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-331516. Thank you, Frank Fictional","Lumina 55"" OLED TV",Italy,High,In Progress,2026-07-06,Software/Firmware,Firmware v3.2 causes startup failure,Neutral,High
00005137,TV frozen after firmware update,"Hello support team, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-418408. Please advise. Regards, David Demo","Lumina 65"" OLED TV",Italy,High,In Progress,2026-07-06,Software/Firmware,Firmware v3.2 causes home screen freeze,Neutral,High
00005138,Battery drains even when camera is off,"Dear customer service, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-24414. Could this be a hardware fault? Kind regards, Greta Testcase (greta.testcase@demo-inbox.test)",AeroSnap X200 Camera,Netherlands,Medium,In Progress,2026-07-07,Product Defect,Battery drains below specification,Neutral,Medium
00005139,Warranty claim — fridge not cooling,"Good morning, My FrostCore fridge-freezer (serial SN-375877) has stopped cooling in the fridge compartment after 14 months. The freezer still works. Is this covered under the 2-year warranty, and how do I arrange a repair? Thank you, Carla Placeholder",FrostCore Fridge-Freezer,France,High,New,2026-07-07,Warranty,Fridge compartment not cooling,Neutral,Medium
00005140,Firmware 3.2 causes constant reboots,"Hi there, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-652842. Please advise. Regards, Bob Sample","Lumina 65"" OLED TV",Spain,High,Escalated,2026-07-08,Software/Firmware,Firmware v3.2 causes home screen freeze,Neutral,High
00005141,Lumina OLED unresponsive since update 3.2,"Hi there, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-586273. Please advise. Regards, David Demo","Lumina 55"" OLED TV",Spain,Medium,New,2026-07-08,Software/Firmware,Firmware v3.2 causes home screen freeze,Neutral,High
00005142,Battery drains even when camera is off,"I am extremely frustrated with this product. My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Carla Placeholder",AeroSnap X200 Camera,Netherlands,Medium,New,2026-07-08,Product Defect,Battery indicator inaccuracy causes shutdown,Angry,High
00005143,Lumina OLED unresponsive since update 3.2,"Honestly unacceptable for a product at this price point. Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. Anna Example, anna.example@fakemail.test","Lumina 55"" OLED TV",United Kingdom,High,Closed,2026-07-09,Software/Firmware,Firmware v3.2 causes constant reboots,Angry,High
00005144,TV frozen after firmware update,"This is the third time I am contacting you and still no answer. Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. Anna Example, anna.example@fakemail.test","Lumina 65"" OLED TV",Germany,High,Closed,2026-07-10,Software/Firmware,Firmware v3.2 causes constant reboots,Angry,High
00005145,Battery drains even when camera is off,"Hello support team, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-67579. Could this be a hardware fault? Kind regards, Frank Fictional (frank.fictional@notreal.test)",AeroSnap X200 Camera,Germany,Low,New,2026-07-10,Product Defect,Battery drains below specification,Neutral,Medium
00005146,AeroSnap X200 shuts down at 40% battery,"Hi there, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-57140. Could this be a hardware fault? Kind regards, Carla Placeholder (carla.placeholder@notreal.test)",AeroSnap X200 Camera,Netherlands,Low,In Progress,2026-07-10,Product Defect,Battery drains below specification,Neutral,Medium
00005147,Screen has a vertical line,"Good morning, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-26115. I would like an exchange. Best, Greta Testcase (greta.testcase@demo-inbox.test)","Lumina 43"" LED TV",France,Medium,Escalated,2026-07-11,Product Defect,Dead pixels in display panel,Neutral,Medium
00005148,Software update 3.2 broke my TV,"I have been a loyal customer for years and this is how I am treated? Ever since the v3.2 firmware update my TV reboots itself constantly, sometimes in the middle of a film. Nothing I do fixes it. I paid a lot of money for this television and it worked perfectly before your update. Anna Example, anna.example@fakemail.test","Lumina 55"" OLED TV",Spain,Medium,Escalated,2026-07-12,Software/Firmware,Firmware v3.2 causes constant reboots,Angry,High
00005149,Software update 3.2 broke my TV,"Hello support team, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-297496. Thank you, Erika Fiktiv","Lumina 55"" OLED TV",Italy,High,In Progress,2026-07-14,Software/Firmware,Firmware v3.2 causes startup failure,Neutral,High
00005150,Camera battery life much worse than advertised,"Dear customer service, I bought the AeroSnap X200 a few months ago and the battery drains from full to empty overnight even when the camera is switched off. I already bought a second battery and it does the same. Is this a known issue? Best, Erika Fiktiv",AeroSnap X200 Camera,Netherlands,Low,Closed,2026-07-14,Product Defect,Battery drains when camera powered off,Neutral,Medium
